HD,HIP,Vmag,Fl,Cst,BayerConst
5722,4587,5.62,23,Cet,phi04 Cet
5737,4577,4.30,,Scl,alf Scl
5848,5372,4.24,2,UMi,UMi
6055,4770,5.59,,Scl,ksi Scl
6116,4903,5.95,39,And,And
6118,4889,5.50,69,Psc,sig Psc
6178,4852,5.50,,Scl,sig Scl
6186,4906,4.27,71,Psc,eps Psc
6192,4829,6.12,,Phe,ome Phe
6203,4914,5.40,25,Cet,Cet
6288,4979,6.06,26,Cet,Cet
6386,5074,6.03,73,Psc,Psc
6397,5081,5.64,72,Psc,Psc
6456,5131,5.33,74,Psc,psi01 Psc
6457,5132,5.55,74,Psc,psi01 Psc
6476,5175,6.28,76,Psc,Psc
6479,5141,6.35,77,Psc,Psc
6480,5144,7.42,77,Psc,Psc
6482,5121,6.09,27,Cet,Cet
6530,5164,5.58,28,Cet,Cet
6557,5204,6.14,75,Psc,Psc
6582,5336,5.17,30,Cas,mu. Cas
6595,5165,3.32,,Phe,bet Phe
6658,5317,5.04,41,And,And
6680,5319,6.23,78,Psc,Psc
6695,5310,5.56,79,Psc,psi02 Psc
6706,5296,5.71,30,Cet,Cet
6734,5315,6.44,29,Cet,Cet
6763,5346,5.51,80,Psc,e Psc
6767,5300,5.21,,Phe,ups Phe
6793,5268,5.36,,Tuc,iot Tuc
6805,5364,3.46,31,Cet,eta Cet
6811,5434,4.26,42,And,phi And
6829,5518,5.32,31,Cas,Cas
6860,5447,2.07,43,And,bet And
6882,5348,3.94,,Phe,zet Phe
6903,5454,5.57,81,Psc,psi03 Psc
6920,5493,5.67,44,And,And
6961,5542,4.34,33,Cas,the Cas
6972,5589,5.57,32,Cas,Cas
6976,5485,6.40,32,Cet,Cet
7014,5510,5.97,33,Cet,Cet
7019,5550,5.80,45,And,And
7034,5544,5.15,82,Psc,g Psc
7087,5571,4.66,84,Psc,chi Psc
7106,5586,4.51,83,Psc,tau Psc
7147,5594,5.93,34,Cet,Cet
7218,5646,6.55,35,Cet,Cet
7318,5742,4.67,85,Psc,phi Psc
7344,5737,5.21,86,Psc,zet Psc
7345,5743,6.44,86,Psc,zet Psc
7374,5778,5.97,87,Psc,Psc
7439,5799,5.14,37,Cet,Cet
7446,5824,6.04,88,Psc,Psc
7476,5833,5.70,38,Cet,Cet
7570,5862,4.97,,Phe,nu. Phe
7672,5951,5.42,39,Cet,Cet
7727,5985,6.52,40,Cet,Cet
7769,0,,,Cas,S Cas
7788,5896,4.25,,Tuc,kap Tuc
7804,6061,5.13,89,Psc,f Psc
7927,6242,4.95,34,Cas,phi Cas
7964,6193,4.74,90,Psc,ups Psc
8003,6312,6.33,35,Cas,Cas
8036,6226,5.87,42,Cet,Cet
8126,6315,5.23,91,Psc,l Psc
8207,6411,4.87,46,And,ksi And
8335,6429,6.50,43,Cet,Cet
8374,6514,5.60,47,And,And
8491,6692,4.72,36,Cas,psi Cas
8511,6539,6.21,44,Cet,Cet
8512,6537,3.60,45,Cet,the Cet
8538,6686,2.66,37,Cas,del Cas
8705,6670,4.90,46,Cet,Cet
8723,6706,5.35,93,Psc,rho Psc
8763,6732,5.50,94,Psc,Psc
8799,6813,4.83,48,And,ome And
8829,6748,5.51,47,Cet,Cet
8875,6815,7.21,95,Psc,Psc
8879,6759,6.57,,Scl,R Scl
8890,11767,1.97,1,UMi,alf UMi
9021,7078,5.82,38,Cas,Cas
9053,6867,3.41,,Phe,gam Phe
9057,6999,5.27,49,And,A And
